,0
green_ratio,0.05669877484068334
aspect_ratio,0.03669297660733006
a_mean,0.03658334993304974
hue_mean,0.031243518361827552
val_std,0.0299648096947019
hue_hist5,0.027169170575469886
blue_ratio,0.026689162500658694
sat_mean,0.025965267562586984
b_mean,0.025484102473960497
red_ratio,0.023664557627186965
hue_hist1,0.023580809027137144
area,0.023509440875057377
mean_intensity,0.021681796235132923
L_mean,0.020952834467968206
hu3,0.020885174935644263
hu4,0.020636146023835854
val_mean,0.020431567033660402
b_std,0.020203241355064166
b_skew,0.020055505605711926
hue_hist0,0.019694312666718457
perimeter,0.01768912684516634
hu1,0.01724428279752369
hu2,0.016848709893466346
hue_std,0.015440251163015903
patch_hue_std,0.012571510640647142
glcm_contrast,0.012455393833014394
glcm_dissimilarity,0.012195813895351874
a_skew,0.011836047798048487
a_std,0.011739351591824378
lbp_coarse_bin12,0.011678579188980905
patch_b_std,0.011530165118791532
sat_std,0.011523029346934104
patch_a_std,0.010172019532955122
hue_hist2,0.009805357914670665
glcm_correlation,0.009521088675766771
lbp_fine_bin3,0.00948130246408782
lbp_coarse_bin13,0.009097709737948805
hue_hist4,0.009011863547579024
patch_L_std,0.008826930675289373
hue_hist6,0.008791579526447478
lbp_fine_bin2,0.00858896976267184
lbp_fine_bin8,0.008247952937578167
solidity,0.008109898876767274
edge_density,0.007975348504946467
lbp_fine_bin9,0.007937782996892986
circularity,0.007906221987947918
lbp_fine_bin0,0.007676192059054657
lbp_coarse_bin11,0.0075185265458073075
lbp_coarse_bin3,0.007424283530369159
hue_hist3,0.007313330479572414
lbp_coarse_bin5,0.006985105772712792
hue_hist7,0.006959039312744281
glcm_homogeneity,0.006665066396003
lbp_fine_bin5,0.006264202011207487
holes_mean_area,0.00577743950474418
lbp_coarse_bin1,0.005563430229904509
lbp_fine_bin1,0.005339338590894515
lbp_coarse_bin4,0.005286502684757578
glcm_ASM,0.0052422008711926005
glcm_energy,0.005160631226445786
extent,0.0050342931672710724
lbp_fine_bin4,0.005027909407074292
lbp_fine_bin6,0.004982867318313388
lbp_fine_bin7,0.004783712937032044
lbp_coarse_bin6,0.004637002576197572
holes_contrast_mean,0.004593039380466973
lbp_coarse_bin15,0.0045862547348789594
lbp_coarse_bin2,0.004552123325181075
holes_area_ratio,0.004551008749659218
lbp_coarse_bin14,0.004272394255542233
lbp_coarse_bin0,0.004247434254333484
lbp_coarse_bin10,0.00422161394986095
lbp_coarse_bin17,0.004093890835430653
holes_contrast_max,0.004044518512578254
lbp_coarse_bin16,0.003906821471293795
holes_circularity_mean,0.003556180397249702
lbp_coarse_bin9,0.003490766756311782
lbp_coarse_bin8,0.003454624486007117
lbp_coarse_bin7,0.0031933544319718687
hu6,0.0031017098073178417
holes_count,0.0030298313624427275
hu5,0.0028350470396849028
hu7,0.002615503970788529
